;Fase;Banco;Tipo.de.tronadura;Tipo.Material;M;Dominio.Estructural;Diametro;B;S;Tiempo.entre.Pozos..MS.;TIEMPO.ENTRE.FILAS..MS.;Fc;Tipo.Explosivo;P10;P20;P30;P40;P50;P60;P70;P80;P90;P100;Este;Norte;Cota
508;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6,5;6,5;5;87;484;B;0,59;0,81;1,15;1,45;1,93;2,87;3,98;5,91;8,19;12,48;59332;89624;2930
509;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;3;11;525;B;0,39;0,71;1,1;1,61;2,36;3,43;4,69;6,1;8,11;10,83;59081;90712;2915
510;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6,5;6,5;5;87;484;B;0,43;0,75;1,3;1,46;1,97;2,91;4,13;5,98;8,43;13,62;59349;89613;2930
511;Stage 2;3515;Tronadura 2;Roca 2;L1;Norte;10,625;11,5;12,5;9;94;184;E;0,35;0,67;1,06;1,57;2,24;3,11;3,94;5,12;6,57;11,85;59475;91634;3516
512;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;3;11;525;B;0,31;0,63;0,91;1,38;2,09;3,31;4,61;6,1;8,46;15,51;58993;90714;2915
513;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;10,625;6,5;6,5;4;24;500;B;0,5511814;1,5354339;2,2440957;2,8740173;3,5039389;4,1338605;5,1968532;5,8267748;7,7952798;13,2283536;59203;90481;2930
515;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6,5;6,5;5;87;484;B;0,9055123;1,5354339;2,1653555;2,8740173;3,5826791;4,1732306;5,0000027;6,0629954;7,3228386;10,7874074;59332;89576;2930
516;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;545;K;0,8267721;1,2598432;1,7716545;2,4803163;3,3070884;4,0157502;4,6850419;5,9448851;7,1653582;11,81103;59117;90327;2930
517;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;545;K;0,9055123;1,6535442;2,1653555;2,7952771;3,5039389;3,93701;4,6063017;5,3149635;6,2598459;7,6771695;59127;90366;2930
518;Stage 4;2930;Tronadura 1;Roca 2;L1;Sureste;10,625;6,5;6,5;5;87;484;B;0,7480319;1,2204731;1,8503947;2,5196864;3,0708678;3,7007894;4,4094512;5,0787429;6,4960665;8,7007921;59314;89547;2930
519;Stage 2;3530;Tronadura 2;Roca 2;L8;Norte;12,25;11,5;12,5;9;94;119;K;0,6692917;1,0236226;1,4566937;1,8503947;2,2440957;2,6771668;3,3070884;3,8188997;4,6063017;6,0236253;59207;91677;3530
520;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;545;K;0,9842525;1,3779535;1,7716545;2,2834658;2,8740173;3,6614193;4,4094512;5,905515;8,0315004;14,960638;59117;90386;2930
521;Stage 4;2930;Tronadura 1;Roca 2;L1;Sureste;10,625;6,5;6,5;5;87;484;B;0,7480319;1,3385834;2,0866153;2,7165369;3,2283482;3,8976399;4,4094512;5,3149635;6,2598459;8,7795323;59299;89520;2930
522;Stage 2;3530;Tronadura 2;Roca 2;L8;Norte;12,25;11,5;12,5;9;94;185;K;0,6299216;0,9448824;1,2204731;1,574804;1,9291349;2,3228359;2,755907;3,4645688;4,2913409;6,692917;59189;91705;3530
523;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;545;K;0,787402;1,2204731;1,6141741;2,1259854;2,8346472;3,7007894;4,5275615;5,7480346;7,0078778;12,0866207;59142;90313;2930
524;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;496;B;0,2755907;0,5118113;0,9842525;1,9291349;2,9133874;3,7401595;4,6063017;5,7874047;7,6771695;11,7716599;59244,67;90439;2937
525;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;496;B;0,393701;0,787402;1,2992133;1,9291349;2,7165369;3,7795296;5,0000027;6,0629954;9,3307137;11,9685104;59240,69;90450;2935
526;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;545;K;0,7086618;1,181103;1,6141741;2,2047256;3,0314977;3,8188997;4,5669316;5,8267748;7,086618;12,4015815;59161;90356;2930
527;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;496;B;0,6299216;1,5354339;2,362206;3,1889781;3,8582698;4,6063017;5,4330738;6,1417356;7,8346499;9,3307137;59237;90465;2935
528;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6,5;6,5;5;87;484;B;0,787402;1,7716545;2,5590565;3,2677183;3,93701;4,7637821;5,511814;6,2204758;8,661422;10,0000054;59337;89541;2930
529;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;545;K;1,0629927;1,6141741;2,2047256;2,8740173;3,4645688;4,0944904;4,8818924;5,5905542;7,3228386;10,236226;59145;90415;2930
530;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;496;B;0,8661422;1,3779535;2,0078751;2,7165369;3,5826791;4,2519708;5,1574831;6,1417356;7,4015788;9,6063044;59199;90473;2930
531;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6;6;5;87;486;C;0,7480319;1,1417329;1,9291349;2,6771668;3,5826791;4,2519708;5,0787429;6,4960665;8,6220519;11,5748094;59382;89677;2930
532;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6;6;5;87;486;C;0,47;0,85;1,18;1,65;2,32;3,23;4,53;6,14;8,19;24,8;59376;89646;2930
533;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;3;11;525;B;0,51;0,83;1,22;1,77;2,48;3,31;4,33;5,91;7,48;15,24;59090;90745;2915
534;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;439;J;0,24;0,59;0,91;1,38;2,01;3,15;4,53;6,22;9,17;18,31;59041;90751;2915
535;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6,5;6,5;5;87;484;B;0,54;0,91;1,34;1,75;2,44;3,43;4,49;6,06;8,54;15,39;59360;89603;2930
536;Stage 2;3530;Tronadura 2;Roca 2;L8;Norte;10,625;8,5;10;5;87;185;J;0,63;0,87;1,1;1,38;1,85;2,52;3,62;4,72;6,22;11,61;59357;91836;3530
537;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;3;11;525;B;0,68;1,02;1,38;1,77;2,36;3,27;4,37;5,67;7,13;10,87;59096;90707;2915
538;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;439;J;0,67;1,06;1,46;1,89;2,52;3,35;4,37;5,98;8,19;17,24;58998;90755;2915
539;Stage 2;3530;Tronadura 2;Roca 2;L8;Norte;10,625;8,5;10;5;87;185;J;0,51;0,71;0,98;1,38;2,09;2,76;3,7;4,69;7,01;11,46;59274;91791;3530
540;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;439;J;0,59;1,02;1,42;1,97;2,76;3,7;4,84;6,1;8,15;16,97;59047;90767;2915
541;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;439;J;0,47;0,71;1,02;1,5;2,24;3,11;4,41;5,98;7,56;14,45;59077;90775;2915
542;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;474;J;0,51;0,79;1,18;1,69;2,36;3,46;4,72;6,06;9,02;17,48;58908;90729;2915
543;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;474;J;1,1023628;1,8897648;2,6377967;3,3858286;3,8976399;4,6456718;5,2362233;6,2204758;7,2834685;8,9370127;58889;90713;2915
544;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;545;K;0,8267721;1,3779535;2,0866153;2,9133874;3,4645688;4,0157502;4,6850419;5,511814;6,6141768;11,6141795;59112;90478;2930
545;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6;6;5;87;486;C;0,8661422;1,3385834;1,7322844;2,362206;3,2283482;4,3700811;5,3149635;6,4566964;8,2283509;11,417329;59370;89695;2930
546;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6;6;5;87;486;C;0,7480319;1,3779535;2,2440957;2,9133874;3,7401595;4,4094512;5,118113;6,2204758;7,9133901;10,5118167;59376;89741;2930
547;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;10,625;6,5;6,5;4;24;500;B;0,7086618;1,1417329;1,6141741;2,2834658;2,9527575;3,7007894;4,5669316;5,8267748;6,9685077;12,598432;59393;90725;2930
548;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6;6;5;87;486;C;0,8661422;1,2598432;1,6929143;2,5196864;3,4645688;4,2519708;5,1968532;6,3385861;8,3070911;15,1574885;59407;89694;2930
549;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;10,625;6,5;6,5;4;24;500;B;0,9055123;1,0629927;1,4566937;1,8503947;2,4803163;3,1889781;4,3700811;5,905515;7,8346499;16,2204812;59176;90463;2930
550;Stage 2;3515;Tronadura 2;Roca 2;L1;Norte;12,25;10,5;10,5;9;94;260;F;0,7086618;0,9448824;1,2598432;1,7322844;2,2440957;2,8740173;3,4251987;4,1338605;5,0787429;10,0000054;59346;91578;3515
551;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;496;B;0,5118113;0,8661422;1,4566937;2,2047256;2,9133874;3,6220492;4,2126007;5,5905542;6,5748067;10,236226;59203;90458;2930
552;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;439;J;0,5511814;0,9055123;1,3779535;2,0866153;2,8346472;3,6614193;4,6850419;5,9842552;9,8818951;16,3779616;59104;90757;2915
553;Stage 2;3515;Tronadura 2;Roca 2;L1;Norte;12,25;10,5;10,5;9;94;260;F;0,6299216;1,0629927;1,6141741;2,0472452;2,4803163;2,9527575;3,3464585;3,7795296;4,5275615;7,5984293;59318;91585;3515
554;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6;6;5;87;486;C;0,7480319;1,6141741;2,5590565;3,149608;3,8582698;4,724412;5,6692944;6,692917;7,9921303;9,4094539;59407;89731;2930
555;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;496;B;0,8267721;1,2204731;1,7322844;2,4015761;3,149608;3,93701;4,724412;5,7874047;7,0078778;10,7874074;59199;90451;2930
556;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6;6;11;105;452;B;0,9055123;1,3385834;1,6929143;2,2834658;3,1102379;4,2126007;5,3149635;6,7716572;8,2283509;14,2519762;59373;89883,72;2930
557;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;3;11;525;B;0,787402;1,2204731;1,7716545;2,5984266;3,2677183;3,9763801;4,724412;5,7086645;7,5196891;12,0078805;59101,6;90705,7;2915
558;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6;6;11;105;452;B;0,9055123;1,3779535;1,8897648;2,6377967;3,5039389;4,6456718;5,5511841;6,7716572;8,8976426;13,6220546;59386;89809;2930
559;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;511;B;1,0629927;1,4173236;1,7716545;2,2834658;2,9921276;3,7401595;4,5669316;5,511814;6,7716572;11,2992187;59103;90685;2915
560;Stage 2;3530;Tronadura 2;Roca 2;L1;Norte;12,25;10,5;10,5;5;87;212;F;0,5905515;1,1023628;1,6929143;2,1259854;2,4015761;2,7952771;3,1889781;3,543309;3,93701;5,3937037;59114;91655;3530
561;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;511;B;0,51;0,91;1,3;1,77;2,44;3,43;4,57;6,02;7,76;13,23;59108;90659;2915
562;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;496;B;0,12;0,43;0,75;1,18;1,93;3,5;5,24;6,81;8,54;15,63;59170;90398;2930
563;Stage 2;3515;Tronadura 2;Roca 2;L8;Norte;12,25;10,5;10,5;17;120;197;K;0,31;0,63;0,87;1,06;1,464;2,01;3,07;4,8;7,09;12,48;59305;91654;3515
564;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;511;B;0,51;0,91;1,26;1,73;2,36;3,35;4,53;5,91;8,15;13,7;59124;90637;2915
565;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;545;K;0,35;0,51;0,79;1,42;2,6;3,86;5,16;6,89;8,78;13,78;59162;90295;2930
566;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;511;B;0,39;0,71;1,1;1,54;2,13;3,11;4,29;5,87;8,31;18,62;59096;90603;2915
567;Stage 2;3515;Tronadura 2;Roca 2;L8;Norte;12,25;10,5;10,5;17;120;197;K;0,63;0,91;1,14;1,46;1,81;2,6;3,82;5,12;8,15;15,31;59410;91714;3515
568;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;12,25;7;7;4;30;511;B;0,39;0,71;1,1;1,65;2,52;3,62;4,76;6,02;7,8;11,85;59161;90624;2915
569;Stage 2;3515;Tronadura 2;Roca 2;L8;Norte;12,25;10,5;10,5;17;120;197;K;0,55;0,79;1,02;1,34;1,93;2,8;3,7;4,53;6,06;12,2;59308;91696;3515
570;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;12,25;7;7;4;30;511;B;0,63;1,1;1,5;1,97;2,68;3,5;4,41;5,87;8,35;14,17;59190;90613;2915
571;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;13;516;B;0,67;1,02;1,38;1,77;2,32;3,15;4,33;5,98;8,46;14,02;59153;90681;2915
572;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;13;516;B;0,6;0,98;1,34;1,73;2,28;3,22;4,25;5,79;7,91;13,5;59133;90754;2915
573;Stage 2;3515;Tronadura 2;Roca 2;L8;Norte;12,25;10,5;10,5;17;120;197;K;0,55;0,75;0,98;1,3;1,73;2,48;3,58;4,49;6,34;11,61;59404;91753;3515
574;Stage 2;3515;Tronadura 2;Roca 2;L1;Norte;12,25;10,5;10,5;17;120;197;K;0,51;0,83;1,18;1,65;2,28;3,03;3,94;5,24;7,4;12,4;59481;91749;3515
575;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;511;B;0,51;0,79;1,181;1,57;2,2;3,19;4,33;5,79;7,95;13,58;59154;90585;2915
576;Stage 4;2930;Tronadura 1;Roca 1;L4;Norte;12,25;7;7;4;30;518;B;1,0629927;1,9291349;2,9527575;3,8188997;4,4488213;5,0393728;5,7480346;6,6535469;8,3858313;10,9055177;59178;90303;2930
577;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;12,25;7;7;4;30;461;B;0,9055123;1,3779535;1,8110246;2,4409462;3,2677183;4,1732306;5,2755934;6,0629954;7,7165396;14,2519762;59352;89972,5;2930
578;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;496;B;0,9842525;1,2992133;1,6535442;2,1259854;2,7952771;3,5826791;4,6850419;5,7480346;7,086618;15,2362287;59201;90418;2930
579;Stage 4;2930;Tronadura 1;Roca 1;L4;Norte;12,25;7;7;4;30;518;B;0,9055123;1,4960638;2,1259854;2,7952771;3,3858286;4,2519708;4,9606326;5,9842552;7,7559097;13,1102433;59195;90299;2930
580;Stage 2;3530;Tronadura 1;Roca 2;L8;Norte;12,25;11;12;17;120;211;F;0,3149608;0,6299216;0,9055123;1,2598432;1,6535442;2,1259854;2,7952771;3,8188997;5,6299243;11,5748094;59204;91769;3530
581;Stage 4;2930;Tronadura 1;Roca 1;L4;Norte;12,25;7;7;4;30;518;B;0,6692917;1,4173236;2,2834658;3,1102379;3,8188997;4,3700811;5,1574831;6,0236253;7,5196891;11,023628;59220;90343;2930
582;Stage 4;2930;Tronadura 2;Roca 1;L4;Sureste;12,25;7;7;4;30;461;B;0,7480319;1,5354339;2,3228359;3,1102379;3,6614193;4,1732306;4,9606326;5,5511841;6,8503974;11,023628;59291;89990;2930
583;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;4;30;451;B;0,5118113;1,1417329;1,4960638;1,8897648;2,5196864;3,3464585;4,4094512;6,3385861;7,9921303;14,960638;59157;90695;2915
584;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;496;B;0,7480319;1,2204731;1,574804;2,0472452;2,755907;3,543309;4,6456718;6,2204758;8,5826818;16,7716626;59216;90412;2930
585;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6,5;6,5;4;30;452;B;0,6692917;1,181103;2,2047256;2,9527575;3,543309;4,2126007;5,1574831;6,1023655;7,5196891;10,1574858;59316;90031;2930
586;Stage 2;3530;Tronadura 1;Roca 2;L8;Norte;12,25;11;12;17;120;211;F;0,4724412;0,7480319;1,0236226;1,574804;2,2047256;2,7165369;3,3858286;4,330711;5,4724439;10,1574858;59153;91756;3530
587;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;12,25;7;7;4;30;517;B;1,0629927;1,4960638;1,8897648;2,4015761;3,1102379;4,0157502;5,0393728;6,1417356;7,4409489;13,7401649;59134;90772;2915
588;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;12,25;7;7;4;30;417;B;0,5118113;0,9055123;1,4566937;2,0078751;2,7165369;3,8188997;4,8818924;6,3385861;10,8661476;16,8504028;59125;90169;2930
589;Stage 2;3530;Tronadura 1;Roca 2;L1;Norte;12,25;11;12;17;120;214;F;0,8267721;1,2992133;1,6929143;2,2440957;2,755907;3,3464585;3,8976399;4,4094512;5,5511841;7,7165396;59106;91699;3530
592;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;480;B;0,31;0,75;1,34;2,44;3,31;3,94;4,92;6,18;8,46;11,93;59315,28;90047,93;2930
593;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;3;11;525;B;0,59;0,91;1,34;2,05;2,95;3,62;4,49;6,14;7,09;9,72;59065,2;90667,2;2915
594;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;480;B;0,2;0,63;1,38;2,36;3,43;4,25;5,08;6,54;9,45;14,65;59311;90060,6;2930
595;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;12,25;7;7;4;30;417;B;0,12;0,35;0,55;1,14;2,68;3,94;5,2;6,02;7,52;11,93;59169;90210,5;2930
596;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;480;B;0,31;0,71;1,26;2,13;2,95;3,82;4,96;6,1;8,19;13,58;59339,7;90074,1;2930
597;Stage 2;3530;Tronadura 1;Roca 2;L1;Norte;12,25;11;12;17;120;214;F;0,28;0,51;0,98;1,85;2,6;3,35;4,06;5,04;5,98;9,09;58960,8;91654,7;3530
598;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;12,25;7;7;4;30;417;B;0,24;0,59;1,06;1,69;2,76;3,7;4,84;6,14;8,5;13,31;59182,6;90226,5;2930
599;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;480;B;0,08;0,12;0,43;1,02;2,68;4,02;4,92;6,02;7,64;10,59;59317,4;90096,2;2930
600;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;12,25;7;7;4;30;417;B;0,08;0,43;1,06;2,44;3,43;4,37;5,12;6,1;7,64;10,98;59148,1;90256,7;2930
601;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;480;B;0,24;0,55;1,34;2,36;3,19;3,94;4,88;5,98;7,76;10,94;59332;90117,4;2930
602;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;12,25;7;7;4;30;417;B;0,08;0,35;1,34;2,09;3,03;3,78;4,72;6,1;7,28;8,35;59180;90271;2930
603;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;4;30;480;B;0,08;0,31;0,79;2,44;3,58;4,37;5,16;6,14;7,91;9,72;59281;90101;2930
604;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;534;B;0,08;0,39;1,06;2,36;3,27;4,21;5,2;6,5;8,74;10,47;59053;90410,7;2915
605;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;12,25;7;7;4;30;417;B;0,12;0,43;0,91;1,81;3,15;4,33;5,51;6,81;9,13;12,95;59216;90264,9;2930
606;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;534;B;1,2598432;2,1653555;2,8740173;3,5039389;4,1732306;4,6850419;5,7480346;6,5748067;8,2283509;9,5669343;59079;90462;2915
607;Stage 4;2915;Tronadura 1;Roca 2;L1;Sureste;12,25;7,5;9;4;30;315;C;1,0629927;1,6929143;2,2047256;2,8346472;3,2283482;3,8582698;4,5275615;5,2755934;6,4566964;9,055123;59240;89539;2915
608;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;534;B;0,5511814;1,0236226;1,8503947;2,4803163;3,3464585;4,0157502;5,0787429;6,2204758;9,5275642;17,4015842;59079;90518;2923
609;Stage 4;2915;Tronadura 1;Roca 2;L1;Sureste;12,25;7,5;9;4;30;315;C;0,8267721;1,2598432;1,9291349;2,7165369;3,4251987;4,0157502;4,4881914;5,1968532;6,5354366;8,6220519;59278;89528;2915
610;Stage 2;3515;Tronadura 2;Roca 2;L1;Norte;12,25;10,5;10,5;17;120;244;K;0,8267721;1,1417329;1,5354339;2,0472452;2,6771668;3,3070884;3,93701;4,6456718;5,7874047;11,6535496;59220;91619;3515
611;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;534;B;0,8661422;1,4566937;2,2047256;2,8346472;3,543309;4,330711;4,9212625;5,905515;7,7952798;10,9448878;59084;90539,6;2915
612;Stage 4;2915;Tronadura 1;Roca 1;L4;Sureste;12,25;7;7;4;30;464;C;0,5905515;1,3385834;2,2440957;3,3070884;3,93701;4,6850419;5,3937037;6,3385861;7,5196891;12,2834712;59310;89522,6;2915
613;Stage 2;3515;Tronadura 2;Roca 2;L1;Norte;12,25;10,5;10,5;17;120;244;K;0,7086618;0,9842525;1,4173236;1,968505;2,4803163;2,9133874;3,3858286;4,1338605;5,118113;8,9370127;59203;91615,6;3515
614;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;534;B;1,0629927;1,4173236;1,7716545;2,2834658;2,9921276;3,7401595;4,5669316;5,511814;6,7716572;11,2992187;59050;90525;2920
615;Stage 4;2915;Tronadura 1;Roca 1;L4;Sureste;12,25;7;7;4;30;464;C;1,1023628;1,8897648;2,6377967;3,3858286;3,8976399;4,6456718;5,2362233;6,2204758;7,2834685;8,9370127;59336;89575;2915
616;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;534;B;1,0629927;2,1653555;2,9133874;3,5826791;4,0551203;4,5275615;5,3149635;5,8661449;6,9685077;8,8976426;59049;90493;2912
617;Stage 4;2915;Tronadura 2;Roca 1;L4;Sureste;12,25;7;7;4;30;467;B;0,5118113;1,1023628;1,574804;2,1653555;2,8346472;3,7007894;4,3700811;5,6692944;7,1653582;12,0472506;59256;89614;2917
618;Stage 4;2915;Tronadura 2;Roca 1;L4;Sureste;12,25;7;7;4;30;467;B;0,9055123;1,4960638;2,0078751;2,6377967;3,2283482;4,2126007;4,8818924;5,905515;7,4409489;12,6378021;59295;89615;2915
619;Stage 4;2930;Tronadura 2;Roca 1;L4;Noreste;10,625;6,5;6,5;4;24;500;B;0,4724412;0,9055123;1,3779535;1,968505;2,7165369;3,4645688;4,2126007;5,6692944;7,1653582;12,3228413;59200;90542;2930
620;Stage 4;2915;Tronadura 2;Roca 1;L4;Sureste;12,25;7;7;4;30;467;B;0,5118113;1,1417329;1,4960638;1,8897648;2,4803163;3,3070884;4,2913409;5,5511841;6,692917;12,4015815;59314;89620;2915
621;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;511;B;0,7086618;1,2598432;2,0472452;2,755907;3,3858286;4,1338605;5,0000027;5,7874047;7,9921303;10,8267775;59142;90572;2915
622;Stage 4;2915;Tronadura 1;Roca 1;L4;Sureste;12,25;7;7;4;30;464;C;0,39;0,79;1,1;1,54;2,05;2,91;4,09;5,94;8,78;12,52;59347;89599;2915
623;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;12,25;7;7;4;30;504;B;0,51;0,91;1,3;1,77;2,48;3,5;4,72;6,06;7,8;16,22;59157;90555;2915
624;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;12,25;7;7;4;30;493;B;0,59;0,94;1,38;1,89;2,68;3,66;4,76;5,83;7,24;13,82;59172;90538;2915
625;Stage 4;2915;Tronadura 2;Roca 1;L4;Sureste;12,25;7;7;4;30;467;B;0,55;0,98;1,4;1,81;2,4;3,46;4,61;5,91;7,95;12,48;59327;89664;2915
626;Stage 4;2930;Tronadura 2;Roca 1;L4;Sureste;10,625;6,5;6,5;4;30;461;B;0,63;0,91;1,18;1,54;2,24;3,62;4,72;6,18;8,35;18,35;59225;90060;2937
627;Stage 4;2915;Tronadura 1;Roca 1;L4;Norte;12,25;7;7;4;30;493;B;0,55;0,91;1,3;1,77;2,52;3,46;4,57;5,98;8,07;16,14;59124;90540;2915
628;Stage 4;2915;Tronadura 2;Roca 1;L4;Sureste;12,25;7;7;4;30;467;B;0,39;0,71;1,14;1,65;2,36;3,4;4,72;5,94;7,87;14,72;59341;89678;2915
629;Stage 4;2930;Tronadura 1;Roca 1;L4;Sureste;10,625;6,5;6,5;4;30;481;K;0,43;0,67;1,02;1,46;2,28;3,39;4,53;5,79;7,8;12,76;59266;90309;2936
630;Stage 2;3515;Tronadura 2;Roca 2;L8;Norte;12,25;13,5;14;4;30;167;F;0,67;0,94;1,18;1,5;1,85;2,48;3,5;5,12;7,24;13,07;59260;91719;3515
631;Stage 2;3515;Tronadura 2;Roca 2;L8;Norte;12,25;13,5;14;4;30;167;F;0,63;0,91;1,14;1,46;1,89;2,6;3,78;5,04;6,61;9,61;59320;91780;3515
632;Stage 4;2915;Tronadura 2;Roca 1;L4;Sureste;12,25;7;7;4;30;493;B;0,51;0,79;1,18;1,73;2,48;3,5;4,72;5,87;7,83;11,57;59153;90504;2915
633;Stage 4;2915;Tronadura 2;Roca 1;L4;Sureste;12,25;7;7;4;30;493;B;0,63;1,02;1,5;2,01;2,83;3,94;5;6,34;8,27;12,72;59132;90456;2915
634;Stage 4;2915;Tronadura 2;Roca 1;L4;Sureste;12,25;7;7;4;30;493;B;0,55;0,79;1,14;1,54;2,13;3,15;4,41;5,98;8,46;13,62;59171;90442;2915
635;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;534;B;0,55;0,98;1,38;1,89;2,6;3,35;4,37;5,98;8,46;13,31;59099;90435;2915
636;Stage 4;2915;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;534;B;1,181103;2,0078751;2,755907;3,3858286;3,9763801;4,5275615;5,3937037;5,905515;7,2047283;10,7086672;59075;90428;2915
